id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Kassandra;Heller;Evan_Douglas@gmail.com;tray;2026-05-10T07:47:03;37;25920
2;Darin;Romaguera;Norman.Reinger78@yahoo.com;tag;2026-05-10T12:22:30;6776;7152
3;Nikita;Armstrong;Corrine14@yahoo.com;pension bah willing;2026-05-10T17:36:48;28752;23200
4;Laura;O'Reilly;Ruben47@hotmail.com;willfully geez before;2026-05-10T16:33:47;27242;30917
5;Lisette;Crist;Natasha76@hotmail.com;utterly finally scrap;2026-05-10T21:57:47;23804;12779
6;Giovanni;Nienow;Guillermo10@gmail.com;excellent besides;2026-05-10T09:58:42;29984;1758
7;Sheila;Johns;Edith_Rowe@yahoo.com;yellowish preregister;2026-05-10T03:53:21;28476;32741
8;Alfred;Ritchie;Agustina.Wiza77@gmail.com;co-producer presume;2026-05-10T07:51:02;14365;1065
9;Eliezer;Littel;Christy_Hagenes@yahoo.com;unlike who eek;2026-05-10T00:03:02;31896;6808
10;Madge;Brakus;Naomi.Jenkins97@hotmail.com;vain diver unlike;2026-05-10T01:11:33;22790;30201
